TimeStamp,POS_X,POS_Y,POS_Z
0,10,10,10
0.5,15.21,15.21,15.21
1,20.42,20.42,20.42
1.5,25.63,25.63,25.62999994
2,30.84,30.84,30.83992467
2.5,36.05,36.05,36.04255968
3,41.26,41.26,41.11390093
3.5,46.47,46.47,45.47350653
4,51.68,51.68,48.29888148
4.5,56.89,56.89,49.54698942
5,62.1,62.1,49.91473645
5.5,67.31,67.31,49.98845625
6,72.52,72.52,49.99884767
6.5,77.72999988,77.73,49.99991303
7,82.93999481,82.94,49.99999492
7.5,88.14987637,88.15,49.99999977
8,93.35826353,93.36,49.99999999
8.5,98.55465681,98.57,50
9,103.6899201,103.78,50
9.5,108.6213774,108.99,50
10,113.1021993,114.2,50
10.5,116.9321523,119.41,50
11,120.2079248,124.62,50
11.5,123.3699604,129.83,50
12,126.9146991,135.04,50
12.5,131.0705789,140.25,50
13,135.7552328,145.46,50
13.5,140.7571422,150.67,50
14,145.9011049,155.88,50
14.5,151.0941928,161.0899994,50
15,156.300609,166.299991,50
15.5,161.5094251,171.5099004,50
16,166.7156313,176.7191557,50
16.5,171.9073522,181.9244601,50.00000002
17,177.0461896,187.1114484,50.00000022
17.5,182.0340064,192.2327349,50.00000198
18,186.6804293,197.1703186,50.0000139
18.5,190.7121511,201.7050251,50.00007608
19,193.8586286,205.5433335,50.00032676
19.5,195.9847387,208.4305075,50.00110716
20,197.1761,210.2934195,50.00296944
20.5,197.7047047,211.2963838,50.0063063
21,197.898544,211.7529318,50.01054476
21.5,198.0048317,211.9615082,50.01361604
22,198.1232998,212.0831505,50.01281098
22.5,198.2368298,212.1225589,50.00695851
23,198.319636,211.9996376,49.99799354
23.5,198.4613318,211.657852,49.99000951
24,198.9236048,211.13882,49.98636248
24.5,200.0735639,210.5891876,49.98749163
25,202.217098,210.2445594,49.99129565
25.5,205.4404755,210.4264743,49.99522404
26,209.5775169,211.4902772,49.9979027
26.5,214.3203183,213.6768373,49.9992586
27,219.3746616,216.9703374,49.9997887
27.5,224.5495999,221.102382,49.99995148
28,229.7569854,225.6970156,49.99999104
28.5,234.9687291,230.4339775,49.99999867
29,240.1796668,235.139894,49.99999984
29.5,245.3899367,239.7953365,49.99999999
30,250.5999909,244.4779896,50
30.5,255.809999,249.2765792,50
31,261.0199999,254.2270866,50
31.5,266.23,259.3056331,50
32,271.44,264.4624403,50
32.5,276.65,269.6553458,50
33,281.86,274.8610111,50
33.5,287.07,280.0701501,50
34,292.28,285.2800173,50
34.5,297.49,290.4900015,50
35,302.7,295.7000001,50
35.5,307.91,300.91,50
36,313.12,306.12,50
36.5,318.33,311.33,50
37,323.54,316.54,50
37.5,328.75,321.75,50
38,333.96,326.96,50
38.5,339.17,332.1699996,50
39,344.38,337.3799944,50
39.5,349.59,342.5899351,50
40,354.7999998,347.7993872,50
40.5,360.0099969,353.0053684,50
41,365.2199578,358.1922478,50
41.5,370.4295332,363.2994947,50
42,375.6359231,368.1629493,50
42.5,380.8222344,372.5045298,50
43,385.9145431,376.1381401,50
43.5,390.6913568,379.3389458,50
44,394.7497961,382.8196307,50
44.5,397.8158287,387.0731861,50
45,400.3386088,391.9644151,50
45.5,403.4011427,397.1154992,50
46,407.5994175,402.3186405,50
46.5,412.5587389,407.5088604,50
47,417.7410733,412.5485919,50
47.5,422.9500097,416.8533948,50
48,428.16,419.3405485,50
48.5,433.37,419.964943,50
49,438.58,419.999885,50
49.5,443.79,420,50
50,449,420,50
